trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-147.5313162150943,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-261.5786809890582,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-215.92804110509752,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-203.09058526514892,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-134.90302120292782,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-51.6889399759064,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-69.94391403288859,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-117.39858120123148,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-100.73624740067125,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-71.54573821881843,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-129.58303197929914,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-181.6810516587915,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-121.75770560734306,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-111.99293243846184,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-30.792390195878625,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-62.59926579525476,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,9.162736301467573,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,13.318167774195443,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-159.15463607108882,"{0: 14, 1: 0, 2: 0, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,-30.162190312889248,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,11,15.90473475326945,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,22.613971942172842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,30.456226572040645,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,17,12.327940837792971,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,5.549438421945919,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-15.959828386742705,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,4,-17.912258881781135,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,-5.546413890942356,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,12.803880049328882,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-33.08170783660948,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
