trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.79309536762159,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.495, 'e': 0.99}",25,0,-247.68252527549706,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
3,False,"{'a': 0.49005, 'e': 0.9801}",25,0,-172.94180218506813,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.4851495, 'e': 0.970299}",25,0,-146.94402763047202,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
5,False,"{'a': 0.480298005, 'e': 0.96059601}",20,0,-229.84373237925223,"{0: 7, 1: 2, 2: 7, 3: 0, 4: 4}",0
6,False,"{'a': 0.47549502494999996, 'e': 0.9509900498999999}",30,14,-12.706756569174729,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.4707400747005, 'e': 0.941480149401}",20,8,13.699395924582033,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.46603267395349496, 'e': 0.9320653479069899}",25,0,-194.87719466253895,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
9,False,"{'a': 0.46137234721396003, 'e': 0.9227446944279201}",25,0,-112.12304246467372,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.4567586237418204, 'e': 0.9135172474836408}",20,4,-7.615813575836656,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.4521910375044022, 'e': 0.9043820750088044}",20,0,-141.7680570263715,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.4476691271293582, 'e': 0.8953382542587164}",20,0,-35.161264525571845,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.4431924358580646, 'e': 0.8863848717161292}",25,0,-44.89215935472071,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.4387605114994839, 'e': 0.8775210229989678}",30,0,-86.9814894408401,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.4343729063844891, 'e': 0.8687458127689782}",25,0,-77.2868108318339,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.4300291773206442, 'e': 0.8600583546412884}",25,0,-156.96590635682898,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.42572888554743776, 'e': 0.8514577710948755}",35,0,-191.73137128611506,"{0: 22, 1: 1, 2: 6, 3: 4, 4: 2}",0
18,False,"{'a': 0.4214715966919634, 'e': 0.8429431933839268}",20,0,-121.66410386360089,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.41725688072504374, 'e': 0.8345137614500875}",20,0,-51.02563264841084,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.4130843119177933, 'e': 0.8261686238355866}",20,0,-95.98305100136315,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.4089534687986154, 'e': 0.8179069375972308}",20,0,-90.80188183334428,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.4048639341106292, 'e': 0.8097278682212584}",25,0,-54.29063028347953,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.40081529476952293, 'e': 0.8016305895390459}",20,0,-33.77035465682849,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.3968071418218277, 'e': 0.7936142836436554}",25,4,-41.47402641791518,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
25,False,"{'a': 0.3928390704036094, 'e': 0.7856781408072188}",35,0,-295.0841412979577,"{0: 18, 1: 2, 2: 7, 3: 4, 4: 4}",0
26,False,"{'a': 0.3889106796995733, 'e': 0.7778213593991467}",25,4,-86.09053306364594,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
27,False,"{'a': 0.38502157290257755, 'e': 0.7700431458051551}",25,0,-123.30700221678889,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.3811713571735518, 'e': 0.7623427143471035}",20,0,-63.145206062036436,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.3773596436018163, 'e': 0.7547192872036326}",25,0,-65.54403129239634,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.3735860471657981, 'e': 0.7471720943315961}",30,15,-74.81632518255145,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.3698501866941401, 'e': 0.7397003733882802}",30,0,-98.6926641214297,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
32,False,"{'a': 0.36615168482719873, 'e': 0.7323033696543975}",25,2,-53.1266289774351,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
33,False,"{'a': 0.3624901679789267, 'e': 0.7249803359578534}",20,0,-41.860358779954424,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.35886526629913745, 'e': 0.7177305325982749}",20,9,-72.23990987663784,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
35,False,"{'a': 0.35527661363614604, 'e': 0.7105532272722921}",20,0,-125.24531814711254,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
36,False,"{'a': 0.3517238474997846, 'e': 0.7034476949995692}",20,0,-38.14039353403538,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.34820660902478673, 'e': 0.6964132180495735}",25,0,-92.06361229337718,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.34472454293453886, 'e': 0.6894490858690777}",20,0,10.219911612341098,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.3412772975051935, 'e': 0.682554595010387}",20,0,-49.569807943469925,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
40,False,"{'a': 0.33786452453014154, 'e': 0.6757290490602831}",25,0,-89.53252176057475,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.33448587928484014, 'e': 0.6689717585696803}",25,9,-92.21764139514198,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
42,False,"{'a': 0.33114102049199173, 'e': 0.6622820409839835}",30,0,-32.96022417445214,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
