trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.14747517983636,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-292.21936685218714,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.45221600560075,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.5035695936796,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.7573728479965,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.55680245268556,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.86258426303004,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.093862009377,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.75222445686084,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.90930206515344,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,4,-170.87669204402505,"{0: 5, 1: 4, 2: 4, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.1489412046269,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.09395912737602,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.64107854780055,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-219.86754837022042,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.14835134803792,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.66330181783245,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-257.5311273172864,"{0: 13, 1: 3, 2: 8, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.37847523823922,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.10459416413481,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.37750164072756,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.33404071647045,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-178.20900511857914,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.03242321819565,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.49455405859591,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.14745513964564,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.79354604074953,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.890019168434,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.0317214592675,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.18488619877608,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
